# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
6.9880527258e-01 3.3149009105e-03 4.2929621413e-03 2.3118419631e-04
7.0543509722e-01 3.3550329972e-03 4.3977522291e-03 2.1379720420e-04
7.1222537756e-01 3.4361789003e-03 3.7097351160e-03 2.5109469425e-04
7.1917980909e-01 3.5229560453e-03 4.1545480490e-03 2.2202440596e-04
7.2631728649e-01 3.6161011085e-03 4.2531727813e-03 1.5523569891e-04
7.3364418745e-01 3.7076049484e-03 4.3019410223e-03 1.2625139789e-04
7.4114769697e-01 3.8027819246e-03 3.5838549957e-03 1.2104870257e-04
7.4885541201e-01 3.9040478878e-03 3.4209429286e-03 1.1892439943e-04
7.5676387548e-01 4.0049958043e-03 3.8124939892e-03 1.1909120076e-04
7.6487541199e-01 4.1116802022e-03 3.6517349072e-03 1.3299219427e-04
7.7321058512e-01 4.2216670699e-03 3.7651399616e-03 1.2764389976e-04
7.8176200390e-01 4.3332828209e-03 4.0973299183e-03 9.8803473520e-05
7.9054367542e-01 4.4515691698e-03 4.4800131582e-03 8.0928031821e-05
7.9956829548e-01 4.5708348043e-03 4.4304761104e-03 7.0253699960e-05
8.0882710218e-01 4.6933768317e-03 4.5207692310e-03 6.1094717239e-05
8.1834179163e-01 4.8235761933e-03 4.6784081496e-03 5.6167518778e-05
8.2812142372e-01 4.9553541467e-03 4.6485178173e-03 5.6434688304e-05
8.3816319704e-01 5.0889030099e-03 4.7415951267e-03 5.9708640038e-05
8.4847700596e-01 5.2270991728e-03 4.6057589352e-03 6.5142179665e-05
8.5907161236e-01 5.3695221432e-03 4.6004368924e-03 6.6600026912e-05
8.6995512247e-01 5.5157369934e-03 4.4098380022e-03 6.1023431044e-05
8.8113462925e-01 5.6653330103e-03 4.6367631294e-03 5.3744348406e-05
8.9261639118e-01 5.8178622276e-03 4.5943581499e-03 4.6489811211e-05
9.0440601110e-01 5.9728538617e-03 4.7328211367e-03 4.0638558858e-05
9.1650778055e-01 6.1298799701e-03 4.9180900678e-03 3.8312009565e-05
9.2892551422e-01 6.2930649146e-03 4.9014789984e-03 3.8679161662e-05
9.4168007374e-01 6.4580962062e-03 4.9685467966e-03 3.7365669414e-05
9.5475792885e-01 6.6213780083e-03 5.0064898096e-03 3.4560511267e-05
9.6816557646e-01 6.7894738168e-03 4.9483631738e-03 3.3013271604e-05
9.8191577196e-01 6.9581489079e-03 4.9558761530e-03 3.2567520975e-05
9.9599820375e-01 7.1265990846e-03 4.8766480759e-03 3.2429179555e-05
1.0104219913e+00 7.2972481139e-03 4.8471540213e-03 3.1307969039e-05
1.0251870155e+00 7.4660140090e-03 4.8896749504e-03 2.9091530450e-05
1.0402859449e+00 7.6331607997e-03 4.9152318388e-03 2.7003410651e-05
1.0557199717e+00 7.8008910641e-03 4.9457140267e-03 2.5500350603e-05
1.0714900494e+00 7.9669719562e-03 4.9497759901e-03 2.4543820473e-05
1.0875879526e+00 8.1291738898e-03 4.8903948627e-03 2.4148519515e-05
1.1040070057e+00 8.2879522815e-03 4.9258959480e-03 2.3840939321e-05
1.1207400560e+00 8.4429038689e-03 4.9141868949e-03 2.2979080313e-05
1.1377780437e+00 8.5940742865e-03 4.9002501182e-03 2.2090700440e-05
1.1551159620e+00 8.7405433878e-03 4.9367100000e-03 2.1498939532e-05
1.1727399826e+00 8.8805602863e-03 4.8707439564e-03 2.1021009161e-05
1.1906379461e+00 9.0138725936e-03 4.9311509356e-03 2.0517509256e-05
1.2087960243e+00 9.1414423659e-03 4.9425871111e-03 2.0009349100e-05
1.2272039652e+00 9.2625226825e-03 4.9584931694e-03 1.9653140043e-05
1.2458460331e+00 9.3751968816e-03 4.9220928922e-03 1.9400840756e-05
1.2647049427e+00 9.4811031595e-03 4.9627572298e-03 1.8984739654e-05
1.2837699652e+00 9.5789367333e-03 4.9894889817e-03 1.8642469513e-05
1.3030200005e+00 9.6688019112e-03 4.9497988075e-03 1.8762040781e-05
1.3224459887e+00 9.7508402541e-03 4.9181701615e-03 1.9843610062e-05
1.3420239687e+00 9.8244259134e-03 4.7653350048e-03 2.2039919713e-05
1.3617429733e+00 9.8904371262e-03 4.7411089763e-03 2.4601260520e-05
1.3815850019e+00 9.9480506033e-03 4.7960779630e-03 2.6509580493e-05
1.4015350342e+00 9.9983923137e-03 4.7901920043e-03 2.6432999221e-05
1.4215790033e+00 1.0041110218e-02 4.7199339606e-03 2.5147419365e-05
1.4416999817e+00 1.0076270439e-02 4.7511542216e-03 2.4408600439e-05
1.4618840218e+00 1.0104649700e-02 4.7066989355e-03 2.4138620574e-05
1.4821180105e+00 1.0126209818e-02 4.7893947922e-03 2.3690510716e-05
1.5023889542e+00 1.0141230188e-02 4.8074251972e-03 2.3173370209e-05
1.5226830244e+00 1.0150269605e-02 4.8519629054e-03 2.2647460355e-05
1.5429899693e+00 1.0153530166e-02 4.9087079242e-03 2.2171319870e-05
1.5632979870e+00 1.0151449591e-02 4.8547089100e-03 2.1854519218e-05
1.5835959911e+00 1.0144320317e-02 4.9247560091e-03 2.1517920686e-05
1.6038750410e+00 1.0132440366e-02 4.8818131909e-03 2.1080650185e-05
1.6241259575e+00 1.0116330348e-02 4.9079870805e-03 2.0722200134e-05
1.6443400383e+00 1.0096020065e-02 4.9562118948e-03 2.0441020752e-05
1.6645100117e+00 1.0071979836e-02 4.9563450739e-03 2.0347730242e-05
1.6846280098e+00 1.0044840164e-02 4.9273348413e-03 2.0621779186e-05
1.7046890259e+00 1.0014349595e-02 4.9196882173e-03 2.1328769435e-05
1.7246849537e+00 9.9810305983e-03 4.8817121424e-03 2.2224439817e-05
1.7446130514e+00 9.9454233423e-03 4.8637008294e-03 2.3563050490e-05
1.7644670010e+00 9.9071776494e-03 4.7113602050e-03 2.5694020223e-05
1.7842420340e+00 9.8671261221e-03 4.8092831858e-03 2.7065259928e-05
1.8039360046e+00 9.8251327872e-03 4.7442917712e-03 2.7199279430e-05
1.8235419989e+00 9.7814686596e-03 4.7047571279e-03 2.7424079235e-05
1.8430620432e+00 9.7365500405e-03 4.7603570856e-03 2.8406460842e-05
1.8624889851e+00 9.6901776269e-03 4.6758609824e-03 3.0120609154e-05
1.8818219900e+00 9.6428552642e-03 4.7702109441e-03 3.0642888305e-05
1.9010599852e+00 9.5945866778e-03 4.7394721769e-03 3.0572879041e-05
1.9202009439e+00 9.5453960821e-03 4.7793411650e-03 3.0970790249e-05
1.9392420053e+00 9.4956792891e-03 4.8998869024e-03 3.1229250453e-05
1.9581830502e+00 9.4452630728e-03 4.8910370097e-03 3.0859850085e-05
1.9770230055e+00 9.3945469707e-03 4.8914612271e-03 3.0139610317e-05
1.9957619905e+00 9.3432730064e-03 4.8978449777e-03 3.0154880733e-05
2.0143959522e+00 9.2917196453e-03 4.8585189506e-03 3.0808558222e-05
2.0329279900e+00 9.2406067997e-03 4.8799607903e-03 3.0166789657e-05
