# wavelength_um clean_reference_transit_depth
6.9880527258e-01 5.0347940996e-03
7.0543509722e-01 5.0341263413e-03
7.1222537756e-01 5.0335442647e-03
7.1917980909e-01 5.0328359939e-03
7.2631728649e-01 5.0321901217e-03
7.3364418745e-01 5.0315214321e-03
7.4114769697e-01 5.0308839418e-03
7.4885541201e-01 5.0302310847e-03
7.5676387548e-01 5.0296029076e-03
7.6487541199e-01 5.0289556384e-03
7.7321058512e-01 5.0282790326e-03
7.8176200390e-01 5.0277146511e-03
7.9054367542e-01 5.0270045176e-03
7.9956829548e-01 5.0263172016e-03
8.0882710218e-01 5.0256736577e-03
8.1834179163e-01 5.0250068307e-03
8.2812142372e-01 5.0243786536e-03
8.3816319704e-01 5.0237695687e-03
8.4847700596e-01 5.0231120549e-03
8.5907161236e-01 5.0225239247e-03
8.6995512247e-01 5.0224442966e-03
8.8113462925e-01 5.0213299692e-03
8.9261639118e-01 5.0207264721e-03
9.0440601110e-01 5.0201411359e-03
9.1650778055e-01 5.0195646472e-03
9.2892551422e-01 5.0190719776e-03
9.4168007374e-01 5.0184777938e-03
9.5475792885e-01 5.0179129466e-03
9.6816557646e-01 5.0173895434e-03
9.8191577196e-01 5.0169010647e-03
9.9599820375e-01 5.0164251588e-03
1.0104219913e+00 5.0159730017e-03
1.0251870155e+00 5.0154589117e-03
1.0402859449e+00 5.0161811523e-03
1.0557199717e+00 5.0170724280e-03
1.0714900494e+00 5.0148391165e-03
1.0875879526e+00 5.0138398074e-03
1.1040070057e+00 5.0134793855e-03
1.1207400560e+00 5.0132754259e-03
1.1377780437e+00 5.0129648298e-03
1.1551159620e+00 5.0125303678e-03
1.1727399826e+00 5.0121811219e-03
1.1906379461e+00 5.0118900836e-03
1.2087960243e+00 5.0272443332e-03
1.2272039652e+00 5.0220452249e-03
1.2458460331e+00 5.0117084756e-03
1.2647049427e+00 5.0114016049e-03
1.2837699652e+00 5.0130593590e-03
1.3030200005e+00 5.0126081333e-03
1.3224459887e+00 5.0168833695e-03
1.3420239687e+00 5.0153248012e-03
1.3617429733e+00 5.0104777329e-03
1.3815850019e+00 5.0102993846e-03
1.4015350342e+00 5.0095622428e-03
1.4215790033e+00 5.0158589147e-03
1.4416999817e+00 5.0551574677e-03
1.4618840218e+00 5.0149485469e-03
1.4821180105e+00 5.0096786581e-03
1.5023889542e+00 5.0133801997e-03
1.5226830244e+00 5.0193802454e-03
1.5429899693e+00 5.0246403553e-03
1.5632979870e+00 5.0250641070e-03
1.5835959911e+00 5.0368946977e-03
1.6038750410e+00 5.0443774089e-03
1.6241259575e+00 5.0267348997e-03
1.6443400383e+00 5.0256326795e-03
1.6645100117e+00 5.0173699856e-03
1.6846280098e+00 5.0090821460e-03
1.7046890259e+00 5.0082006492e-03
1.7246849537e+00 5.0080688670e-03
1.7446130514e+00 5.0082802773e-03
1.7644670010e+00 5.0098807551e-03
1.7842420340e+00 5.0092111342e-03
1.8039360046e+00 5.0088865682e-03
1.8235419989e+00 5.0078937784e-03
1.8430620432e+00 5.0077419728e-03
1.8624889851e+00 5.0097862259e-03
1.8818219900e+00 5.0323167816e-03
1.9010599852e+00 5.0197811797e-03
1.9202009439e+00 5.0122742541e-03
1.9392420053e+00 5.0480533391e-03
1.9581830502e+00 5.0851744600e-03
1.9770230055e+00 5.0566410646e-03
1.9957619905e+00 5.0645270385e-03
